Neuchâtel,280,6,274,51,223,333,6,327,55,272,51,1,50,13,37,235,5,230,38,192,47,0,47,4,43
Jura,115,1,114,28,86,148,1,147,33,114,13,0,13,7,6,103,1,102,20,82,32,0,32,6,26
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse du Nord-Ouest,1987,25,1962,458,1504,2460,25,2435,482,1953,294,8,286,92,194,1744,16,1728,356,1372,422,1,421,34,387
Bâle-Ville,327,2,325,80,245,399,2,397,82,315,77,2,75,21,54,239,0,239,58,181,83,0,83,3,80
Bâle-Campagne,469,8,461,89,372,597,8,589,92,497,72,2,70,19,51,414,6,408,65,343,111,0,111,8,103
Argovie,1191,15,1176,289,887,1464,15,1449,308,1141,145,4,141,52,89,1091,10,1081,233,848,228,1,227,23,204
,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,2835,33,2802,585,2217,3289,34,3255,611,2644,433,11,422,128,294,2349,21,2328,422,1906,507,2,505,61,444
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse orientale,2440,49,2391,406,1985,3075,49,3026,435,2591,277,13,264,67,197,2233,35,2198,324,1874,565,1,564,44,520
Glaris,93,2,91,16,75,117,2,115,17,98,6,0,6,3,3,90,2,88,11,77,21,0,21,3,18
Schaffhouse,148,2,146,25,121,183,2,181,25,156,21,1,20,6,14,133,1,132,16,116,29,0,29,3,26
Appenzell Rh.-Ext.,85,1,84,18,66,103,1,102,18,84,12,0,12,3,9,73,1,72,15,57,18,0,18,0,18
Appenzell Rh.-Int.,27,1,26,7,19,35,1,34,9,25,3,0,3,0,3,27,1,26,8,18,5,0,5,1,4
Saint-Gall,980,23,957,194,763,1231,23,1208,208,1000,127,6,121,35,86,870,16,854,158,696,234,1,233,15,218
Grisons,498,12,486,68,418,658,12,646,74,572,42,3,39,5,34,461,9,452,55,397,155,0,155,14,141
Thurgovie,609,8,601,78,523,748,8,740,84,656,66,3,63,15,48,579,5,574,61,513,103,0,103,8,95
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse centrale,1776,22,1754,353,1401,2205,24,2181,380,1801,238,10,228,62,166,1630,10,1620,292,1328,337,4,333,26,307
Lucerne,967,7,960,199,761,1226,7,1219,209,1010,135,5,130,43,87,905,2,903,158,745,186,0,186,8,178
Uri,123,5,118,21,97,157,5,152,24,128,9,1,8,2,6,122,3,119,20,99,26,1,25,2,23
Schwytz,292,4,288,58,230,346,4,342,64,278,43,3,40,9,31,240,0,240,48,192,63,1,62,7,55
Obwald,58,2,56,9,47,82,4,78,11,67,8,0,8,2,6,60,2,58,7,51,14,2,12,2,10
Nidwald,82,3,79,12,67,96,3,93,12,81,9,1,8,0,8,78,2,76,12,64,9,0,9,0,9
Zoug,254,1,253,54,199,298,1,297,60,237,34,0,34,6,28,225,1,224,47,177,39,0,39,7,32
,,,,,,,,,,,,,,,,,,,,,,,,,
Tessin,954,13,941,237,704,1164,13,1151,251,900,121,2,119,47,72,862,10,852,187,665,181,1,180,17,163
,,,,,,,,,,,,,,,,,,,,,,,,,
Total,18148,301,17847,3867,13980,22557,339,22218,4202,18016,2382,75,2307,691,1616,16272,210,16062,3087,12975,3903,54,3849,424,3425
,,,,,,,,,,,,,,,,,,,,,,,,,
Région lémanique,3336,63,3273,898,2375,4242,94,4148,991,3157,515,13,502,160,342,2938,49,2889,715,2174,789,32,757,116,641
Vaud,1758,30,1728,300,1428,2259,32,2227,326,1901,261,5,256,62,194,1555,25,1530,228,1302,443,2,441,36,405
Valais,555,21,534,275,259,736,49,687,326,361,75,5,70,34,36,491,16,475,231,244,170,28,142,61,81
Genève,1023,12,1011,323,688,1247,13,1234,339,895,179,3,176,64,112,892,8,884,256,628,176,2,174,19,155
